filename,resource_kind,label,category,subtype,expected_constraint
compliant/compliant-pod-0000.yaml,Pod,0,none,none,
compliant/compliant-pod-0001.yaml,Pod,0,none,none,
compliant/compliant-pod-0002.yaml,Pod,0,none,none,
compliant/compliant-pod-0003.yaml,Pod,0,none,none,
compliant/compliant-pod-0004.yaml,Pod,0,none,none,
compliant/compliant-pod-0005.yaml,Pod,0,none,none,
compliant/compliant-pod-0006.yaml,Pod,0,none,none,
compliant/compliant-pod-0007.yaml,Pod,0,none,none,
compliant/compliant-pod-0008.yaml,Pod,0,none,none,
compliant/compliant-pod-0009.yaml,Pod,0,none,none,
compliant/compliant-pod-0010.yaml,Pod,0,none,none,
compliant/compliant-pod-0011.yaml,Pod,0,none,none,
compliant/compliant-pod-0012.yaml,Pod,0,none,none,
compliant/compliant-pod-0013.yaml,Pod,0,none,none,
compliant/compliant-pod-0014.yaml,Pod,0,none,none,
compliant/compliant-pod-0015.yaml,Pod,0,none,none,
compliant/compliant-pod-0016.yaml,Pod,0,none,none,
compliant/compliant-pod-0017.yaml,Pod,0,none,none,
compliant/compliant-pod-0018.yaml,Pod,0,none,none,
compliant/compliant-pod-0019.yaml,Pod,0,none,none,
compliant/compliant-pod-0020.yaml,Pod,0,none,none,
compliant/compliant-pod-0021.yaml,Pod,0,none,none,
compliant/compliant-pod-0022.yaml,Pod,0,none,none,
compliant/compliant-pod-0023.yaml,Pod,0,none,none,
compliant/compliant-pod-0024.yaml,Pod,0,none,none,
compliant/compliant-pod-0025.yaml,Pod,0,none,none,
compliant/compliant-pod-0026.yaml,Pod,0,none,none,
compliant/compliant-pod-0027.yaml,Pod,0,none,none,
compliant/compliant-pod-0028.yaml,Pod,0,none,none,
compliant/compliant-pod-0029.yaml,Pod,0,none,none,
compliant/compliant-pod-0030.yaml,Pod,0,none,none,
compliant/compliant-pod-0031.yaml,Pod,0,none,none,
compliant/compliant-pod-0032.yaml,Pod,0,none,none,
compliant/compliant-pod-0033.yaml,Pod,0,none,none,
compliant/compliant-pod-0034.yaml,Pod,0,none,none,
compliant/compliant-pod-0035.yaml,Pod,0,none,none,
compliant/compliant-pod-0036.yaml,Pod,0,none,none,
compliant/compliant-pod-0037.yaml,Pod,0,none,none,
compliant/compliant-pod-0038.yaml,Pod,0,none,none,
compliant/compliant-pod-0039.yaml,Pod,0,none,none,
